식별 ID,수집한 플랫폼,수집한 종목,날짜,뉴스 제목,뉴스 내용
0005967203,네이버,네이버,2025-03-20T20:19:00+09:00,"국민연금, 이해진 네이버 사내이사 선임 찬성...보수한도 안건은 반대","[이데일리 윤정훈 기자] 국민연금이 이해진 네이버 창업자의 사내이사 선임 안건에 찬성하기로 결정했다.

이해진 네이버 글로벌투자책임자(GIO)
국민연금기금 수탁자책임 전문위원회는 20일 제5차 회의를 열고 네이버를 포함한 9개 기업의 주주총회 안건에 대한 의결권 행사 방향을 논의했다.

위원회는 오는 26일 열리는 네이버 정기 주주총회에서 이해진 글로벌투자책임자(GIO)의 이사회 복귀와 최수연 대표의 연임을 승인하는 사내이사 선임 안건에 찬성했다. 또한 노혁준 사외이사 및 감사위원 재선임, 김이배 사외이사 및 감사위원 선임에도 찬성 의견을 냈다.

반면 네이버의 이사 보수 한도 승인 안건에는 반대했다. 위원회는 보수 금액을 고려할 때 한도가 과다하다고 판단했다.

또한 KT&G 정기 주주총회 안건 중 대표이사 사장 선임 방식을 명확히 하는 정관 변경에도 반대했다. 해당 변경안이 소수 주주 추천 이사의 이사회 진입을 어렵게 할 수 있다는 점이 이유다.

이외에도 하나금융지주 함영주 회장의 사내이사 선임을 비롯해 NH투자증권, KB금융지주, 신한금융지주, 우리금융지주, 한국타이어앤테크놀로지, KCC글라스의 재무제표 승인 및 이사 선임 등 다른 정기 주주총회 안건에는 모두 찬성하기로 했다."
0005168691,네이버,네이버,2025-03-20T19:59:00+09:00,"국민연금, KT&G 집중투표제 배제 안건에 반대","수책위서 주총 안건 의결권 행사 방향 결정...NAVER 이사보수한도 승인 건도 반대
국민연금, KT&G 주주총회 의결권 행사 방향
국민연금은 오는 26일 열리는 KT&G 정기 주주총회에서 대표이사 사장 선임 시에 집중투표제를 적용하지 않도록 변경하는 내용의 안건에 반대 의결권을 행사하기로 했다.

국민연금기금 수탁자책임전문위원회는 20일 회의를 열고 KT&G, NAVER, NH투자증권, 하나금융지주, KB금융지주, 신한금융지주, 우리금융지주, 한국타이어앤테크놀로지, KCC글라스 등 총 9개사 주주총회 안건에 대한 의결권 행사 방향을 심의했다.

KT&G 주총 안건 가운데서는 대표이사 사장 선임 방법을 명확화하는 정관 일부변경의 건에 대해 ""소수주주 추천 이사의 이사회 진입을 어렵게 하는 측면이 있다""며 반대키로 했다. 그 외 안건은 모두 찬성키로 했다. 국민연금은 KT&G 지분 7.1%를 보유하는 2대 주주다.

KT&G는 앞서 정관에 '집중 투표의 방법에 의해 이사를 선임하는 경우 대표이사 사장과 그 외의 이사를 별개의 조로 구분한다'는 조항을 넣기로 하고 주총 안건으로 상정했다. 대표이사를 따로 선임할 경우 집중투표제 효력이 떨어질 수 있어 논란이 일어 왔다.

또, NAVER 정기주주총회 안건 중에서는 이사보수한도 승인 건에 대해 ""보수한도가 보수 금액에 비해 과다하다""며 반대하고 그 외 안건은 찬성할 계획이다.

NH투자증권, 하나금융지주, KB금융지주, 신한금융지주, 우리금융지주, 한국타이어앤테크놀로지, KCC글라스 주총 안건에 대해서는 모두 찬성키로 했다."
0000917800,네이버,네이버,2025-03-20T18:53:00+09:00,"네이버, 대화형 AI 서비스 '클로바X'에 고도화한 AI 모델 적용","기존 대비 40% 수준 크기, 운영 비용 50% 이상 개선한 AI 모델 '클로바X'에 적용
""프로그래밍 코드 관련 제안, 수학 문제 풀이 등에도 '클로바X' 활용 가능""
인공지능(AI) '하이퍼클로바X'를 저비용 고성능 모델로 고도화한 네이버가 대화형 AI 서비스 '클로바X'에 이를 적용했다. 이로써 이용자는 클로바X를 수학 문제 풀이 등에 활용할 수 있게 됐다.

네이버 대화형 인공지능(AI) 서비스 '클로바X' 답변 예시 [사진=네이버]


20일 네이버에 따르면 최근 대화형 AI 서비스 '클로바X'에 한 단계 진화한 AI 모델이 적용됐다. 이에 따라 이용자는 클로바X에 다양한 요청을 하거나 실험을 해볼 수 있게 됐다. 2023년 8월 선보인 대화형 AI 서비스 클로바X는 이용자의 질문이나 요청에 AI가 적합한 답변이나 결과물을 제공하도록 만들어졌다. '네이버표 챗GPT'로도 통한다.

네이버 측은 ""새롭게 구축한 AI 모델이 적용된 클로바X를 통해 (이용자는) 프로그래밍 코드를 분석하고 결과를 예측해 더 효율적인 개선 방향을 제안 받을 수 있다""며 ""수학 문제 풀이와 같이 논리적 사고력이 필요할 때도 도움을 받을 수 있다""고 설명했다.

가령 수학 문제의 경우 이용자가 글로 질문하거나 사진(이미지)을 첨부하면 클로바X가 이를 분석해 답변을 제공하는 형태다. 정답과 함께 풀이도 볼 수 있는 식이다. 네이버 관계자는 ""수학 문제를 풀이 과정과 함께 푼다는 건 AI가 '단계적 문제 해결 능력'이 좋아졌다는 의미로, 이는 최근 주목 받고 있는 '추론'의 중요한 능력""이라고 강조했다.

앞서 중국 AI 스타트업 딥시크가 빅테크(대형 IT 기업) 대비 상대적으로 적은 비용을 투입해 고성능 AI 모델을 공개하면서 이목을 끌었다. 특히 작문(글쓰기) 등 우수한 언어 능력을 보유한 것에서 한 단계 나아가 AI가 스스로 사고하며 논리·수리적 추론 능력을 보유한 '추론형 AI'가 주목 받는 계기를 만들었다는 평가도 나온다.

네이버에서는 2023년 8월 초거대 언어모델(LLM) '하이퍼클로바X'를 공개했으며 기술 트렌드 변화에 맞춰 이를 고도화해 사내 개발자들이 서비스 기획과 개발에 활용할 수 있도록 하고 있다.

최근 새롭게 업데이트된 하이퍼클로바X는 기존 대비 약 40% 수준의 파라미터(매개변수) 수로 구성된, 상대적으로 작은 크기임에도 전세계적으로 통용되는 대표 벤치마크인 MMLU에서 정답률 79.6%를 기록하며 유사한 규모의 해외 빅테크 AI 모델에 필적하는 언어이해 능력을 보였다. 운영 비용도 기존 모델 대비 50% 이상 개선된 것으로 알려졌다. 새 AI 모델이 적용된 클로바X도 이에 맞춰 한 단계 진화한 서비스를 제공하게 된 것이다.

네이버는 회사가 보유한 AI 역량을 각종 서비스에 녹여내 경쟁력을 강화한다는 '온서비스 AI' 전략을 추진하고 있다. 일반 이용자가 네이버 AI의 성능을 체험해 볼 수 있는 클로바X 외에도 다양한 AI 기능과 서비스를 선보일 전망이다.

최근 선보인 별도 쇼핑앱 '네이버플러스 스토어'에 AI 기능을 탑재한 것이 대표적이다. 노트북이나 휴대폰, 에어컨 등 전자 제품에 대한 사전 지식과 정보가 부족한 이용자가 활용할 수 있는 'AI 쇼핑 가이드'를 통해 자신에게 가장 적합한 후보군을 빠르게 좁혀가며 최적의 상품을 고르는 데 도움을 받을 수 있도록 한다.

기존 네이버 검색 서비스에도 AI 기능(AI 브리핑)을 선보일 계획이다. 검색 결과에서 AI가 요약한 답변과 연관 내용을 확인할 수 있는 형태를 구상 중인 것으로 알려졌다. 이 기능은 올해 상반기 중 공개를 목표로 하고 있다."
0005108750,네이버,네이버,2025-03-20T18:42:00+09:00,"KAIST 차기 총장 후보, 이광형·김정호·이용훈 3명으로 확정","한국 산업을 이끄는 과학기술 두뇌의 집결지 KAIST 차기 총장 후보가 20일 이광형 현 총장과 김정호 KAIST 전기전자공학부 교수, 이용훈 전 울산과학기술원 총장 3명으로 압축됐다.

KAIST 총장선임위원회는 지난 19일 제18대 총장 후보자 10여 명에 대한 면접을 거쳐 이날 이 같이 결정했다. KAIST 총장선임위는 당연직인 과학기술정보통신부 국장급 공무원과 KAIST 이사장이 추천한 인사 등 5명으로 돼 있다.

차기 KAIST 총장은 과기정통부 등의 검증을 거쳐 세 명 후보 가운데 한 명을 대통령이 임명한다. 현재로선 최상목 대통령 권한대행이 임명권자다.

과학계는 사실상 이 총장과 김 교수의 2파전으로 보고 있다. 한국 스타트업의 대부, 미래학의 창시자로 불리는 이 총장은 지난 2021년 부임 후 2600억원의 기부금을 유치하는 등 기술패권 시대를 맞아 KAIST가 세계로 도약할 수 있는 토대를 마련했다는 평가를 받는다. 애제자였던 고 김정주 넥슨 창업주를 비롯해 이해진 네이버 창업자등이 그의 제자다.

김정호 교수는 SK하이닉스 등이 양산해 엔비디아 등 글로벌 빅테크에 납품하는 첨단 반도체 고대역폭메모리(HBM) 개발을 이끈 세계적인 산업공학 전문가다. 젊은 시절 경계현 전 삼성전자 DS부문 사장 등과 삼성 D램 반도체 개발 실무를 맡았다. 현재 KAIST-삼성전자 산학협력센터장 등을 맡고 있다.

'대통령 대행의 대행' 체제인 현재 정국을 감안할 때 차기 총장이 언제 선임될지는 미지수다. 한 과학계 관계자는 ""분초 단위로 기술이 급속도로 발전하는 시대 KAIST 리더십 공백이 길어져선 안 된다""며 ""정치 상황과 무관하게 차기 KAIST 총장 선임 절차가 이뤄져야 한다""고 강조했다."
0005324049,네이버,네이버,2025-03-20T18:24:00+09:00,"네이버 AI쇼핑 앱, 100만 다운로드 훌쩍","플러스스토어 앱 출시 8일만에
구글플레이·앱스토어 동반 1위
네이버가 인공지능(AI) 기반 쇼핑앱 네이버플러스 스토어앱이 출시 8일만에 누적 다운로드 100만건을 넘어섰다. 구글 플레이에 이어 애플 앱스토어에서도 인기 앱 순위 1위에 오르며 초반 흥행이 이어지고 있다.

20일 네이버에 따르면 지난 12일부터 서비스를 시작한 네이버플러스 스토어앱이 이날 기준 누적 다운로드가 100만건을 넘어섰다. 전날부터 안드로이드 버전 앱에 이어 애플 iOS 버전 앱 심사가 완료, 애플 앱스토어에서도 설치가 가능한 것이 영향을 미쳤다.

네이버가 이번에 별도 출시한 쇼핑앱 네이버플러스 스토어는 AI 개인화 상품 추천 기술을 전면에 내세우며 이커머스 시장에 본격적으로 도전장을 냈다. 개인의 구매 이력 및 패턴, 최근 관심사 등을 분석해 이용자가 관심을 가질만한 개인화한 맞춤형 상품을 제공하는 것이 핵심이다.

배송 서비스도 배송 시간을 세분화한 '네이버 배송'(N 배송)으로 개선했다.

네이버는 조만간 이벤트 응모자를 대상으로 추첨을 통해 쇼핑 지원금 100만원을 지급할 예정이다. 또 앱 출시를 맞아 30일까지 '네이버플러스 스토어 오픈위크' 기획전도 진행 중이다. 네이버는 오픈위크 종료 이후 곧바로 내달 13일까지 '오픈위크 앵콜 행사'를 연이어 열고 주요 브랜드의 소비재를 할인가에 판매한다.

네이버 관계자는 ""아이폰에서도 네이버플러스 스토어 앱 다운로드가 가능해지면서 고객 반응이 이어지고 있다""며 ""출시 초기인 만큼 사용 데이터와 추세 등을 지켜보고 있는 단계""라고 말했다."
0000034557,네이버,네이버,2025-03-20T18:19:00+09:00,MS 빙에도 쫓기는 'Daum'의 다음은?,"CIC 설립 2년만 특단의 조치
독자경영 돌파구 마련해야
카카오가 11년 전 품었던 포털 '다음'(Daum)을 분사하는 방안을 검토하고 있다. 한때 국내 최대 포털의 지위를 차지했던 다음의 운명에 관심이 쏠린다.

20일 업계에 따르면 카카오는 내부 구성원을 상대로 '다음'을 분사하는 방안을 공개하고 이와 관련한 동의 및 이직·전직 신청 등을 받고 있는 것으로 알려졌다. 

카카오는 이 과정을 거친 뒤 이사회 승인을 거쳐 분사를 확정하고 구체적 방식과 형태, 일정 등을 정할 방침이다. 다만 이런 계획이 확정되기도 전에 외부에 알려지며 논란이 커지고 있다. 

분사 이후 매각할 것이란 우려까지 더해지며 고용불안이 제기되는 것이다. 현재 다음 관련 인력 규모는 300명가량으로 전해진다.

카카오는 2023년 5월 다음 CIC(사내독립기업)를 설립하고 독자적 의사결정이 가능한 조직체계를 갖춘 바 있다.

CIC 설립이 2년가량 흘렀으나 별다른 반전은 없었던 만큼 경쟁력 강화를 통한 재도약에 나서려면 분사와 같은 더욱 강한 자극이 필요하다는 판단을 한 것으로 파악된다.

모바일인덱스에 따르면 포털 다음의 MAU는 2월 현재 738만명으로 네이버(4448만명), 구글(3865만명)에 크게 밀린 상태다.

웹사이트 분석 업체 '인터넷트렌드' 기준으로 보면 다음의 국내 검색시장 점유율(1월1일~3월18일)은 2.8%로 마이크로소프트(MS) 빙(3%)에도 추격당했다. 네이버(65.4%), 구글(26.5%)가 시장을 거의 장악한 상태다.

카카오 내부 사정을 잘 아는 관계자는 ""다음은 CIC로 전환했지만 여전히 카카오 안에 있는 까닭에 이에 따른 제약도 있고, 외부 상황에 빠르게 대응하는 것은 어려운 측면이 있었을 것""이라며 ""분사를 하게 되면 의사결정을 빠르게 하고 이에 대한 책임도 지면서 돌파구를 마련할 것이란 기대가 있을 것""이라고 전했다.  

카카오 입장에서 '다음'은 살려야 하는 카드라는 설명도 나온다. '다음'이 포함된 카카오의 포털비즈 사업부문 매출은 지난해 3320억원에 달했다. 전년동기대비 4% 감소한 것이지만 버리기 아까운 카드다. 

게다가 기준을 달리 보면 '다음'의 플랫폼 경쟁력은 상당하다. 이 회사에 따르면 다음의 작년말 웹·앱 통합 기준 MAU는 1956만명에 달한다.

업계 관계자는 ""다음의 검색 점유율은 낮은 편이지만 그렇다고 실제 방문자수가 작은 서비스는 아니다""라며 ""카카오는 과거에 다음을 카카오톡에도 넣어봤지만 별다른 소득을 얻지 못했고, 결국 새롭게 도전하는 독자 생존의 길을 통해 살리는 방식을 택한 것으로 보인다""고 했다.

다음은 모바일 메신저 카카오톡과는 다른 유형의 플랫폼이라는 점에서 완전히 새로운 길을 모색할 필요가 있다는 것이다. 

또한 카카오게임즈, 카카오모빌리티, 카카오뱅크 등 과거 분사한 곳들도 자력 생존을 하고 있는 만큼 다음 역시 이를 해낼 것이란 기대도 있다.

카카오는 상반기 중으로 내부 조율을 마치고 다음 분사를 확정할 계획이다.

카카오 측은 공시를 통해 ""당사는 카카오 그룹의 기업가치 제고를 위해 포털 '다음'의 서비스 경쟁력 강화와 신속하고 독자적인 의사결정이 가능한 다양한 방안을 검토 중""이라며 ""구체적인 사항은 결정된 바 없으며 이사회 의결 과정 등을 거쳐 확정할 예정""이라고 밝혔다."
0005323999,네이버,네이버,2025-03-20T18:11:00+09:00,"이재명 ""모두의 삼성 돼주길""… 이재용 ""청년 위해 미래 투자""","76분간 첫 회동 청년취업 등 대화
야권 ‘친기업 행보’에 이목집중
입법현안 언급 없어 재계 아쉬움
""반도체특별법 등 논의 이어져야""
이재명 더불어민주당 대표(오른쪽 첫번째)와 이재용 삼성전자 회장(왼쪽 첫번째)이 20일 오전 서울 강남구 삼성 청년 소프트웨어 아카데미(SSAFY)에서 열린 청년 취업 지원을 위한 현장 간담회에서 기념촬영을 하고 있다. 공동취재
""모두의 삼성이 되어 달라.""(이재명 더불어민주당 대표), ""청년을 위한 투자는 대한민국의 미래""(이재용 삼성전자 회장)

이재명 더불어민주당 대표와 이재용 삼성전자 회장이 20일 나란히 '노타이' 차림으로 '청년취업'을 고리로 76분간 첫 회동을 했다. 야권의 '친기업 행보'라는 점에서, 재계의 이목이 집중됐다. 민주당 내부에서는 ""분위기는 좋았다""는 목소리가 나온다. 다만, 삼성전자를 필두로 재계의 최대 입법 현안인 반도체특별법, 상법 개정안에 대한 별도의 논의는 없었던 것으로 파악됐다. 재계 안팎에선 야권의 친기업 행보와 관련, 보다 실효성있는 후속 논의가 이어져야 한다는 목소리가 나온다.

■'노타이' 차림 76분간 회동

이재용 회장은 이날 오전 9시께 강남구 '삼성 청년 소프트웨어 아카데미'(싸피·SSAFY) 서울 캠퍼스 1층 로비에서 직접 이 대표 등 민주당 인사들을 안내했다. 이 대표도 ""회장님께서 직접 (마중)나오셨느냐""면서 삼성 측의 환대에 화답했다. 양측 모두 사전에 '노타이'로 드레스코드를 맞추는 등 캐주얼한 분위기를 연출했다.

이 대표는 간담회 모두에서 ""기업이 잘 돼야 나라가 산다""며 ""모두를 위한 삼성, 경제 성장에 지금까지 해왔던 것처럼 역할을 잘해주시길 부탁드린다""고 말했다. 이 대표는 삼성의 청년 무상소프트웨어 교육인 '싸피' 투자에 각별한 사의를 표했다. 이 회장은 ""삼성 소프트웨어 역량을 가지고 사회와의 동행이라는 이름 아래 우리 대한민국의 미래, 그리고 진짜 대한민국 미래인 청년들을 위해 저희가 사회공헌을 떠나 우리 미래에 투자한다는 것으로 지금까지 끌고 왔다""고 말했다.

이날의 만남은 민생·친기업 행보를 하고 있는 이재명 대표 측에서 먼저 이 회장 측에 만남을 제안했고, 이에 삼성에서 '청년 교육, 청년 취업'을 콘셉트로 '싸피'를 회동 장소로 낙점한 것으로 전해졌다. 싸피는 삼성이 자랑하는 청년 소프트웨어 무상 교육 프로그램이다. 서울을 비롯해 대전·광주·구미·부산캠퍼스에서 지난해까지 교육생 9700여 명을 배출했으며, 5000여 명이 취업에 성공했다. 수료생들은 삼성전자를 비롯해 카카오, 네이버, LG 유플러스, 롯데정보통신, 현대모비스 등 국내 주요 기업 취업에 성공했다.

■반도체특별법 얘기는 없었다

이 대표와 이 회장의 만남은 단순한 만남 이상의 의미를 가진다는 게 재계 및 정치권의 시각이다. 원내 1당 대표이자 각종 여론조사에서 차기 대권주자 1위를 달리는 이 대표와 국내 시총 1위 기업을 이끄는 이 회장이 공개석상에서 한자리에서 마주하는 것이기 때문이다. 이로 인해, 당초, 10분간 비공개 회동에서 삼성이 입법 현안으로 삼고있는 반도체 특별법, 상법 개정안 등에 대한 대화가 오갈 것이란 관측이 나왔다. 하지만 이 자리에 동석한 복수의 관계자에 따르면, 민감한 입법 현안에 대해선 언급은 없었다고 한다. 재계에서는 다소 아쉽다는 목소리가 나왔다. 전날 삼성전자 주총에서 반도체 부문을 이끌고 있는 전영현 삼성전자 부회장(DS 부문장)은 주 52시간 근로 예외 조항이 담긴 반도체 특별법을 가리켜, 반도체 근원 경쟁력과 직결된 사안이라고 언급하며 ""지금 현재 법으로 핵심 개발자들이 연장 근무를 더 하고 싶고 더 많은 연구시간을 집중하고 싶어도 현재 52시간 규제로 인해 개발 일정을 탄력적으로 대응할 수 없다""고 토로했다. 재계 고위 관계자는 ""국내외 불확실성이 확대되는 상황에서 야당에서 기업 이슈를 챙기고 나섰다는 점에서, 긍정적 신호를 줬다고 할 수 있지만, 반도체 특별법, 상법 등 기업활동과 직결된 입법이슈 등에서 보다 실효성있는 논의가 이어져야 할 것""이라고 말했다."
0004463817,네이버,네이버,2025-03-20T18:02:00+09:00,카카오T에 네이버 로고…플랫폼 맞수 '광고 동맹',"'2040 직장인' 타깃층 겹쳐 협업
경쟁사 신규서비스 홍보 '이례적'
네플스, 8일만에 100만 다운로드
네이버플러스 스토어 광고가 담긴 카카오T 앱의 첫 화면.

[서울경제]

출근길 택시 호출을 위해 카카오T 애플리케이션(앱)을 실행한 직장인 A씨는 첫 화면을 보고 당황했다. A씨는 “네이버플러스 스토어 로고가 큼지막하게 떠 순간 잘못된 줄 알았다”며 “알고보니 광고였다”고 말했다.

‘국민 플랫폼’ 자리를 두고 경쟁하는 네이버(NAVER)와 카카오가 이례적으로 앱 홍보에서 손을 맞잡았다. 20일 정보기술(IT) 업계에 따르면 네이버플러스 스토어는 최근 카카오모빌리티의 카카오T 플랫폼을 통한 앱 전면 광고를 실행하고 있다. 앱 첫 화면을 지난 후 메인화면에서도 네이버플러스 스토어의 배너 광고가 가장 눈에 띄는 위치를 차지했다.

단순 광고 게재 수준의 협업이긴 하지만 국내 플랫폼 맞수인 두 회사가 신규 서비스 홍보를 위해 상대 플랫폼을 활용한 건 이례적이라는 반응이다. 네이버 관계자는 “온라인 마케팅을 담당하는 대행사가 매체 전략에 따라 실행한 것”이라며 “마케팅 효과가 높은 채널을 선택한 것”이라고 말했다.

네이버 계열의 신규 서비스는 주로 네이버 자체 플랫폼에서 홍보해왔다. 네이버플러스 스토어의 경우 국내 50조 원 규모의 이커머스 시장을 공략하기 위해 출시한 야심작인 만큼 외연 확대 차원에서 타깃층이 겹치는 외부 플랫폼을 적극 활용하기로 한 것으로 보인다.

카카오T는 국내를 대표하는 모빌리티 플랫폼으로, 주 소비층은 택시나 대리운전 등 서비스를 주로 이용하는 도심 내 20~40대 직장인이다. 네이버플러스 스토어가 노리는 소비자층과 같다. 특히 앱 내 결제를 적극 활용하는 스마트 결제 고관여층인 만큼 이용자를 끌어들이면 실제 소비로 이어질 가능성도 가장 높다는 분석이 나온다.

인공지능(AI) 쇼핑 기술을 반영한 네이버플러스 스토어 앱은 출시 8일 만에 누적 다운로드 100만 건을 돌파하는 등 긍정적인 반응을 얻고 있다. 아이지에이웍스의 모바일인덱스에 따르면 앱 출시일이었던 12일 1만여 건이었던 신규 설치 건수는 17일에 14만 8000건까지 치솟았다.

/진동영 기자 jin@sedaily.com"
0000065129,네이버,네이버,2025-03-20T18:01:00+09:00,'부채 조절' 나선 네이버…단기차입금 절반으로 줄였다,"경기 성남시 분당구에 위치한 네이버 제2사옥 1784 /사진 제공=네이버
네이버가 2024년 단기차입금을 줄이며 부채 조절에 나섰다. 네이버는 지난해 3월 정관을 변경해 사채 발행 절차를 간소화한 뒤에도 1년 동안 신규 사채를 발행하지 않았다. 대신 사업 성장과 네이버Z를 포함한 다수 자회사 처분으로 이익을 늘려 투자 여력을 마련했다.

20일 네이버 사업보고서에 따르면 2024년 연결기준 단기차입금은 1354억원으로 전년보다 59.3% 감소했다. 단기차입금은 1년 안에 갚아야 하는 빚이다. 같은 기간 네이버의 재무활동 현금흐름을 보면 2801억원 규모의 단기차입금을 상환했다. 새로 차입한 현금은 693억원이다. 새로 빌린 돈 보다 갚은 돈이 약 4배 많았다. 

또한 네이버는 지난해 3월 정기주주총회에서 정관을 변경해 사채 발행 절차를 간소화했다. 기존엔 사채를 발행할 때마다 이사회의 승인을 받아야 했다. 바뀐 절차에서는 이사회가 정한 한도 내에서 대표이사가 사채의 금액, 종류를 정해 발행할 수 있다. 금리 변동성이 큰 상황에서 시장에 유연하게 대응하기 위해 사채 발행 과정의 효율을 높인 결정이다.

하지만 네이버는 정관 변경 뒤 사채를 한 차례도 발행하지 않았다. 주주총회 전인 지난해 1월 2000억원 규모 공모채 발행이 마지막이다.

차입금과 사채는 이자와 함께 갚아야 할 빚이지만, 기업의 사업 투자 밑천이기도 하다. 네이버는 인공지능(AI)·클라우드·로보틱스 등 신사업 투자와 광고·커머스·콘텐츠 등 기존 사업 고도화에 열을 올리고 있다. 
/그래프= 윤상은 기자
네이버의 지난해 영업활동 현금흐름은 2조5899억원으로 전년 대비 29.4% 증가했다. 이는 기업이 영업으로 번 돈을 의미해 본업의 경쟁력을 가늠하는 지표 중 하나다.

또한 지난해 2조원 가까운 연결 당기순이익을 남겼다. 2023년 9850억원으로 1조원을 넘지 못했던 당기순이익은 1년 사이에 1조9320억원으로 크게 늘어났다. 특히 기타수익이 7325억원으로 전년 대비 254% 증가했다. 이 중 종속기업투자자산처분이익이 전년 대비 652% 많은 5094억원이다.

네이버는 지난해 메타버스 플랫폼 '제페토' 운영사인 네이버Z를 처분했다. 네이버의 자회사인 스노우가 지닌 지분 20%를 약 1000억원에 일본 라인야후 자회사 Z인터미디어트글로벌과 라인플러스에 매각했다. 네이버는 지난해 총 14개 자회사를 처분했다."
0000074785,네이버,네이버,2025-03-20T18:00:00+09:00,"네이버 D2SF, AI 기반 실시간 모션캡처 스타트업 ‘무빈’에 후속 투자","무빈, 세계 최초 3D 모션 캡처에 LiDAR 센서 접목
모션캡쳐 솔루션 ‘무빈 트레이싱’으로 북미 비즈니스 본격 돌입
GDC2025에 마련된 무빈 현장 부스. [사진 네이버]

[이코노미스트 최영진 기자] 네이버 D2SF(D2 Startup Factory)가 AI 기반 실시간 마커리스 모션캡처 기술 스타트업 ‘무빈’에 후속 투자했다. 네이버 D2SF는 20 23년 시드 투자했고, 성장성에 주목해 후속 투자를 단행했다. 무빈의 이번 Pre-A 라운드는 에이티넘인베스트먼트가 리드했고 네이버 D2SF, 크루캐피탈 등이 참여했다.

무빈은 세계 최초로 LiDAR 센서를 활용한 실시간 마커리스 모션 캡처 기술을 개발했다. LiDAR 센서를 사용함으로써 거리와 깊이 등 공간 정보를 왜곡 없이 확보할 수 있어, 3D 관절·뼈 구조·각도 등을 더욱 정밀하게 캡처할 수 있는 기술이다. 후처리 없이 즉각적인 데이터 처리가 가능해 실시간으로 모션을 캡쳐할 수 있는 것도 강점이다.  

현재 무빈은 첫 핵심 제품인 ‘무빈 트레이싱’(MOVIN TRACIN)을 론칭해 글로벌 시장에 도전하고 있다. 이미 전 세계 11개국 50개 이상의 게임·VFX·버추얼 기업을 고객으로 확보했다. 또한 올해 하반기 목표로 3D 모션 데이터를 생성 및 제공하는 플랫폼을 출시할 계획이다. 

무빈은 2023년 예비 창업 단계에서 네이버 D2SF가 발굴해 인큐베이팅을 거쳐 시드 투자를 진행한 인연이 있다. 창업 1년 만에 핵심 기술 개발와 제품화 등을 빠르게 증명해 후속 투자로 이어졌다. 네이버 D2SF는 무빈이 1784의 인프라를 활용해 모션 데이터셋 구축할 수 있도록 지원했다. 네이버의 버추얼 기술 및 사업 조직과 협업 접점도 지속 모색 중이다.

양상환 네이버 D2SF 센터장은 “3D 모션 데이터는 AI가 인간의 움직임과 행동을 이해하는데 필수적이며, VTuber, 게임 등 엔터 산업을 넘어 로보틱스, 의료 등 다양한 분야에서 더욱 수요가 높아질 것”이라며, “무빈은 탁월한 실행력을 바탕으로 빠르게 성장하고 있는 팀으로, 향후 3D 모션 캡처를 넘어 3D 모션 데이터 플랫폼으로 확장성이 기대되는 팀”이라고 말했다.

한편, 네이버 D2SF는 올해 1분기 동안 5건의 신규 투자를 연이어 공개하며, AI, 버추얼 테크, 모빌리티 등 다양한 분야에서 국내외 신규 투자뿐만 아니라 후속 투자까지 적극적으로 진행하고 있다. 현재 홈페이지를 통해 신규 투자팀을 공개 모집 중이며, 무빈을 발굴한 캠퍼스 기술창업 공모전도 4월 초 모집을 시작할 예정이다."
