식별 ID,수집한 플랫폼,수집한 종목,날짜,뉴스 제목,뉴스 내용
0005967174,네이버,한국전력,2025-03-20T18:42:00+09:00,남동발전 조영혁·이영기 부사장 취임,"20일 임시주총서 임명…2년 임기
[이데일리 김형욱 기자] 한국남동발전은 20일 진주 본사에서 열린 임시주주총회에서 조영혁 경영혁신 부사장과 이영기 안전기술 부사장을 임명했다고 밝혔다. 이날부터 2년 임기가 시작된다.

(왼쪽부터) 한국남동발전 조영혁 경영혁신 부사장과 이영기 안전기술 부사장. (사진=남동발전)
조 신임 부사장은 33년간 한국전력공사와 남동발전에서 경력을 쌓은 경영 혁신과 성과관리 분야 전문가다. 1992년 한국전력공사 입사 후 주로 경영전략·경영기획 분야에서 경력을 쌓아왔고 2001년 한전의 발전사 분사 때 남동발전으로 옮겨 미래전략실장, 기획처장을 거쳐 직전까지 경영지원본부장 직을 지냈다. 서울 숭실고와 아주대를 졸업하고 서울대 경영석사, 경상대 경영박사를 취득했다.

이 신임 부사장은 1990년 한전으로 입사해 삼천포·영흥발전본부 등에서 현장 경험을 쌓은 발전소 운영·건설 전문가다. 남동발전 사업총괄실장과 건설기획실정, 건설처장 등을 역임했다. 부산 동천고와 부산대 졸업 후 연세대 공학석사를 취득했다."
0005324024,네이버,한국전력,2025-03-20T18:18:00+09:00,"KT, 한전·서울대와 전력 특화 AI 만든다","KT 김영섭 대표, 서울대학교 유홍림 총장, 한국전력 김동철 사장(왼쪽부터)이 지난 19일 서울대학교 총장공관에서 전력산업 특화 AI 개발 및 실증을 위한 업무협약을 체결하고 기념촬영을 하고 있다. KT 제공

KT가 한국전력, 서울대학교와 함께 전력산업 특화 인공지능(AI) 개발과 실증을 위한 업무협약(MOU)을 체결했다고 20일 밝혔다.

협약 체결식에는 KT 김영섭 대표, 한국전력 김동철 사장, 서울대학교 유홍림 총장 등 세 기관 주요 관계자가 참석했으며 에너지 산업의 AI전환(AX)를 통한 미래 경쟁력 강화에 뜻을 모았다.

이번 협력에서 KT는 공공기관 망분리 등 정부 보안 가이드라인을 준수하는 AI 보안 체계 구축에 중점을 둔다. KT '하이브리드 클라우드 기반 아키텍처'는 데이터 중요도에 따라 계층별 접근을 통제해 보안을 강화한다. 내부망과 외부망 간 데이터 교환 시 암호화 및 실시간 모니터링 시스템을 통해 정보 유출을 방지하고 AI 모델이 처리하는 데이터에 대한 정교한 접근을 제어한다. KT의 보안 정책은 AI 솔루션 개발을 위한 데이터의 신뢰성과 활용성을 보장하며 내부망과 외부망을 분리해 운영함으로써 보안 위협을 차단하고 민감한 데이터를 안전하게 보호할 수 있도록 설계됐다.

KT 김영섭 대표는 ""KT, 한국전력, 서울대학교가 보유한 최고 수준의 역량을 결집해 공공영역에서 진정한 AX 확산이 촉발될 것으로 기대하고 있다""며 ""KT는 적극적인 협력을 토대로 국가 전력산업의 AX를 지원하고 국내 타 산업의 AX 가속화를 주도하는 액셀러레이터로 자리매김할 것""이라고 강조했다."
0000723050,네이버,한국전력,2025-03-20T17:30:00+09:00,"[비즈&] 아시아나항공, 미국 가는 마일리지 전용 항공편 첫 선 外","경제계 소식을 전하는 비즈&(앤) 시간입니다.

오늘(20일)은 어떤 소식들이 있는지 함께 살펴보겠습니다.

▶ 아시아나항공, 미국 가는 마일리지 전용 항공편 첫 선

국내 최초로 미국 노선에 마일리지 전용 항공편이 뜹니다.

아시아나항공이 인천-로스앤젤레스, 인천-뉴욕 노선에 총 6편을 운영하는데요.

오늘(20일)부터 마일리지로만 예약 가능한 1,870석이 열립니다.

초대형 항공기 A380도 투입되고, 마일리지 쇼핑몰도 함께 운영 중입니다.

▶ S-OIL, 주유소 통해 이웃 돕는다…2억3천만 원 기부

S-OIL이 주유소를 통한 기부 활동에 나섰습니다.

오늘(20일) '주유소 나눔 N 캠페인' 기부금 2억3천만 원을 한국사회복지협의회에 전달했는데요.

전국 200여 개 주유소가 참여해 인근 복지시설과 어려운 이웃에게 지원할 예정입니다.

▶ 현대차·기아, 슈프리마와 손잡고 '로봇 친화 빌딩' 확장

현대차·기아가 보안 전문업체 슈프리마와 손잡고 '로봇 친화 빌딩' 확장에 나섭니다.

로봇 친화 빌딩은 로봇이 건물 안을 자유롭게 이동하며 배달이나 안내, 보안 등 다양한 역할을 수행할 수 있도록 설계된 공간인데요.

양사는 오늘(20일) 업무협약을 맺고, 로봇과 AI를 활용한 보안 설루션과 새로운 서비스 개발에 나섭니다.

▶ KT·한전·서울대, 전력산업 특화 AI 함께 개발

KT가 한국전력, 서울대와 손잡고 전력산업에 특화된 인공지능 기술 개발에 나섭니다.

세 기관은 오늘(20일) 업무협약을 맺고, 전력 시스템에 AI와 하이브리드 클라우드를 접목해 보안성과 효율을 높이는 설루션을 공동 개발하기로 했습니다.

▶ 현대백화점, 업계 첫 '전량 비파괴 검사' 돈육 출시

현대백화점이 프리미엄 돈육 브랜드 '현대 셀렉티드 포크'를 내놨습니다.

특히 모든 물량을 비파괴 검사로 지방 비율까지 꼼꼼히 확인합니다.

오늘(20일)부터 수도권 5개 점포에서 삼겹살, 목심 등 다양한 부위를 만나볼 수 있습니다.

연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23"
0004020689,네이버,한국전력,2025-03-20T16:22:00+09:00,"한전, 서울대·KT와 전력산업 특화 AI 개발·실증 업무협약","한국전력과 서울대학교, KT는 서울대학교에서 전력산업 특화 AI(인공지능) 개발·실증을 위한 업무협약(MOU)을 체결했다.
 
20일 한전에 따르면 전날 맺은 협약은 전력망 스마트화와 분산e 확산 등 에너지산업 환경변화와 연계해 전력산업에 특화된 AI 솔루션과 인프라를 개발하고 활용하는 내용을 담고 있다. 이를 통해 국가 전력시스템 전반의 효율개선과 생산성 향상을 도모한다.
 
이번 협약에 참여한 3개 기관은 먼저 ‘하이브리드 클라우드(Hybrid Cloud) 기반 전력산업 특화 AI 솔루션·보안시스템 구축안’을 마련하고 실증하는 데 힘을 모으기로 했다. 첨단 생성형 AI의 학습·추론 기능 등을 활용해 전력시스템을 획기적으로 혁신할 수 있는 기반을 조성한다.
 
솔루션 보안시스템 구축안은 사내 민감 데이터를 처리하는 내부망 생성형 AI와 외부망 범용 생성형 AI(챗GPT 등)가 결합된 형태로 데이터 보안을 유지하면서 최신 생성형 AI의 강점을 모두 활용하는 방식이다.
 
중장기적으로는 에너지 및 AI 융합형 전문인력 양성과 AI 기반 에너지 신사업·신기술 활성화를 위한 연관 생태계 경쟁력을 강화하는 등 단계적 협력을 확대해 나갈 예정이다.
 
협약기관별 주요 역할을 보면 한전은 전력산업 특화 AI 개발‧활용 기본 방향 및 실행전략 마련, AI 기반 융복합 신사업모델 발굴·R&D·실증 총괄한다. 서울대는 전력시스템 선진화 전략방향 제시·보안기준 정립, 전문 인력양성에 힘쓴다. KT는 보안기술 적용 클라우드 AI 모델 연계 실증, 최적 AI 솔루션을 제시한다.
 
이 과정에서 한전은 AI의 예측력과 실시간 대응력을 활용해 전력시스템의 안정성과 효율성을 극대화하고 대고객 서비스 혁신 및 타산업(IT 등)과의 신사업모델 공동개발 등 범국가적 편익을 극대화 하는데 주력한다.
 
이날 한국전력 김동철 사장은 “지금은 인공지능 융복합 기술에 기반한 에너지 생태계 전반의 AI 대전환과 미래 도약의 기회를 적극 모색할 때”라며 “이번 협약을 통해 3개 기관이 힘을 모은다면 우리나라 전력산업은 글로벌 에너지 산업의 선두 주자와 새로운 시장을 선도해 나갈 수 있을 것”이라고 밝혔다.
 
세 기관은 에너지·AI 융합 프로젝트의 협력 범위를 혁신벤처와 스타트업 등으로 점진적으로 확대해 에너지·AI 특화 솔루션 비즈모델 개발과 해외시장 공동진출에 앞장서 국가 미래성장동력 창출에 기여하게 된다."
0000087970,네이버,한국전력,2025-03-20T16:08:00+09:00,"LS일렉트릭, 인수한 전력·자동화 자회사에 'LS' 간판 달았다","LS일렉트릭. 사진=로이터·연합뉴스


LS일렉트릭이 지난해 인수한 KOC전기와 티라유텍 사명을 각각 'LS파워솔루션', 'LS티라유텍'으로 바꿨다.

LS일렉트릭은 20일 자회사 KOC전기와 티라유텍이 정기 주주총회를 열고, 사명을 'LS파워솔루션'과 'LS티라유텍'으로 각각 변경한다고 밝혔다.

LS파워솔루션은 1979년 설립 후 초고압 변압기를 비롯해 몰드, 건식, 유입식 배전 변압기를 모두 생산하는 종합 변압기 제조사다.

국내 중소기업 중 유일하게 154kV 기술력과 설비를 보유, 한전에 초고압 변압기를 납품하고 있다. LS일렉트릭에 인수된 이후 초고압 변압기 생산능력을 3배 이상 늘리고 생산품목도 230kV급으로 확대한 바 있다.

LS티라유텍은 2007년 설립된 스마트팩토리 솔루션이 주력 사업이다. LG, 삼성, SK 등 대기업 스마트팩토리에 대한 협업 경험을 보유하고 있다.

LS일렉트릭은 ""이번 사명 변경은 지난해 LS일렉트릭에 편입된 양사가 'LS'의 일원으로서 급변하는 글로벌 산업 환경에 적극 대응하고, 전력과 자동화 분야에서 모기업과의 시너지를 통해 경쟁력을 한층 강화하기 위한 조치""라고 했다."
0005462162,네이버,한국전력,2025-03-20T16:07:00+09:00,"DL이앤씨, 해외 건설·플랜트 수익성↑…SMR 등 미래 먹거리도 지속 발굴","DL이앤씨가 시공 중인 인도네시아 카리안댐.


DL이앤씨는 지난해 계속되는 불경기 속에서도 실적 방어에 성공했다.

이 회사는 견고한 성장 흐름을 유지하며 매출과 영업이익 모두 작년 3분기 이후 꾸준히 증가하고 있다. 특히 지난해 4분기 매출은 전 분기보다 27%, 영업이익은 13% 늘었다.

수익성 위주로 진출한 해외 사업들이 결실을 보기 시작한 것으로 풀이된다.

실제로 DL이앤씨는 인도네시아 수도 자카르타에서 남서쪽으로 약 70㎞ 떨어진 치우중강 지류에 있는 카리안댐 완공을 앞두고 있다. 길이 516m, 높이 63m 규모로 최대 3억t의 물을 저장할 수 있다. 인도네시아에서 세 번째로 큰 규모로 지난해 1월에는 조코 위도도 당시 대통령이 건설 현장을 찾기도 했다.

최근에는 인도네시아 수력발전소 건설사업에 건설사업관리(CM) 역할로 참여한다는 계획도 발표했다. 한국중부발전이 대주주로 참여한 특수목적법인 'PT 시보르파 에코파워'와 1500만달러(약 220억원) 규모 계약을 체결한 것이다. 이 특수목적법인은 인도네시아 수마트라섬 북동부 빌라강에 114㎿(메가와트) 규모의 '시보르파 수력발전소' 건설사업을 추진하기 위해 설립됐다. 발전소가 완공되면 1년간 현지 인구 약 100만명이 사용할 수 있는 전력이 생산될 전망이다.

DL이앤씨는 이 사업에서 CM을 맡아 2030년까지 발주처를 대신해 설계·시공 등을 종합 관리한다. CM은 프로젝트 전반적인 이해와 경험이 있어야 하는 기술집약적 업무다. 그동안 미국·유럽 등 선진국 업체가 독식한 CM 시장에 진출한 셈이다. DL이앤씨는 이들 사업을 성공적으로 수행해 인도네시아뿐만 아니라 동남아시아 시장에서 인프라스트럭처 공사 수주가 확대될 것으로 기대하고 있다.

플랜트 사업도 석유화학, 발전 플랜트 분야 기술력을 바탕으로 세계 시장을 공략하고 있다. 특히 모듈러 공법을 활용한 플랜트 시공으로 주목받고 있다. 모듈러 공법은 복잡한 플랜트 기자재를 운송 가능한 크기로 나눠 별도 제작 공간에서 작업한 후 현장에서 설치하는 방법이다. 공사 기간 단축과 품질 향상, 안전사고 예방에 효과적이다. 이 기술을 활용해 지난해 DL이앤씨의 싱가포르 첫 플랜트 설계·구매·시공(EPC) 프로젝트이자 세계 최대 규모의 이소프렌 라텍스 공장인 카리플렉스 신공장 건설 공사를 애초 계획보다 1개월 단축했다. DL이앤씨의 첫 미국 석유화학 플랜트 사업인 골든 트라이앵글 폴리머스 프로젝트(GTPP) 또한 모듈러 공법을 활용해 성공적으로 수행하고 있다.

박상신 대표


DL이앤씨는 올해도 기술력을 기반으로 고수익 위주의 포트폴리오 다변화를 통해 실적 개선을 이어갈 계획이다. 토목 사업에서는 필리핀, 인도네시아 등 잘 아는 시장과 교량·댐 등 잘하는 공종에 집중할 계획이다. 진입장벽이 높은 기술형 입찰 사업도 적극 추진하기로 했다. 플랜트 사업에서는 지난해 34%였던 매출 비중을 올해 44%까지 높일 계획이다. 이를 위해 고부가가치 영역인 FEED(기본설계)부터 EPC로 이어지는 'FEED to EPC' 전략을 추진할 예정이며 해외 대형 프로젝트 수주도 확대한다는 전략이다.

또 이 회사는 이산화탄소 포집·저장·활용(CCUS), 소형모듈원전(SMR) 분야에서 미래 먹거리를 키우고 있다. 우량 프로젝트를 선별·수주하면서 이들 친환경 신사업에서 성장 동력을 이어간다는 방침이다.

DL이앤씨는 친환경 신사업 가운데 CCUS 분야에서 탁월한 기술 경쟁력을 보유하고 있다. 이미 10여 년 전부터 한국전력공사 전력연구원이 주도한 CCUS 국책연구과제 1~2단계에 모두 참여해 이산화탄소 포집 플랜트 기본 설계를 담당했다. 현재 이산화탄소를 하루 3000t 포집할 수 있는 기본 설계 능력을 갖췄다.

2022년 8월에는 친환경 탈탄소 사업을 확대하기 위한 전문회사인 '카본코'도 설립했다. 카본코는 다양한 산업 분야에 따라 최적의 탄소 감축 솔루션을 제안하는 종합 솔루션 기업이다. CCUS 사업과 함께 친환경 수소·암모니아 사업도 추진하며 친환경 사업 디벨로퍼로 도약하고 있다.

[손동우 기자]"
0005462163,네이버,한국전력,2025-03-20T16:07:00+09:00,"전남 솔라시도,인공지능 데이터센터 조성 최적지로 떠올라","BS그룹

BS그룹이 전남 해남군 일대에 전라남도 등과 공동으로 추진 중인 대규모 민관 협력 도시개발 사업 '솔라시도' 조감도.


세계적인 인공지능(AI) 광풍 속에 미국, 유럽, 중동 등 주요국에서 데이터센터 프로젝트가 활발히 추진 중이다. 한국에서도 전남 해남군에 있는 솔라시도 기업도시에 3GW 규모의 AI 슈퍼클러스터 허브 조성 소식이 전해지며 국내외 이목이 쏠리고 있다.

솔라시도 기업도시(이하 솔라시도)는 BS그룹 계열사인 BS산업, BS한양이 지자체인 전라남도, 해남군 등과 함께 전남 해남군 일대에 약 2090만㎡(632만평 규모) 용지에 추진 중인 대규모 민관 협력 도시개발 사업이다.

지난달 전남도는 미국 투자회사 스톡팜로드(SFR)의 자회사인 퍼힐스 등과 '솔라시도 AI 슈퍼클러스터 허브 구축'을 위한 실시협약(MOA)을 체결했다. 2030년까지 솔라시도에 컴퓨팅 인프라스트럭처, 데이터센터, 에너지 저장 시스템(ESS) 등을 구축하는 세계 최대 규모(3GW)의 AI 슈퍼클러스터 허브를 조성하는 데 뜻을 모았다.

솔라시도는 태양광 등 대규모 재생에너지 기반시설과 넓은 용지, 산업용수를 확보하고 있고 지진 등 자연 재해로부터 안전하다는 점에서 AI 데이터센터 유치에 최적지로 평가받는다. 솔라시도 인근에 재생에너지 발전단지가 인접해 계통 설비에 대한 부담을 최소화하면서 지역에서 생산된 에너지를 지역에서 소비하는 이른바 '지산지소' 실현이 가능하다.

국내 최대 일조량을 자랑하는 솔라시도는 인근의 영산강 간척지를 태양광 집적화단지(3GW)로 추진하고, 서남 해안권 해상풍력(7GW) 자원을 활용해 총 10GW 규모의 발전단지에서 AI 데이터센터와 산업단지로 안정적인 재생에너지 공급이 가능할 전망이다.

앞서 지난해 10월 전남도와 한국전력, BS산업은 '솔라시도 데이터센터 전력 인프라 구축 협약'을 체결하며 사업 추진의 동력을 확보했다. 협약 내용에 따라 솔라시도 내 154㎸급 변전소 구축을 통해 전력 공급을 앞당길 수 있게 됐다.

그보다 앞선 6월에는 솔라시도가 정부의 기회발전특구에 지정됨에 따라 과세 기준 완화 등의 혜택이 주어져 관련 산업 유치에 도움이 될 것으로 기대된다.

BS그룹은 솔라시도에 교육·문화·레저가 어우러진 대규모 주거단지를 선보일 계획이다. 이를 위해 지난해 설계 공모를 시작으로 웰니스 콘셉트의 주거 특화 상품을 개발 중이다. 최근 솔라시도가 1가구 2주택 양도세 비과세 지역에 지정되면서 주거단지에 관한 관심이 더욱 높아지고 있다.

특히 지난달에는 전남도와 해남군이 미국 명문 사립학교인 RCS(Redlands Christian School)와 솔라시도 국제학교 설립을 위한 MOU를 체결하며 글로벌 교육도시로의 발판을 마련했다.

솔라시도 관계자는 ""전라남도 최초의 정원형 식물원 산이정원과 솔라시도CC 골프장, RCS 국제학교 유치까지 솔라시도를 문화, 레저, 교육이 조화를 이룬 도시로 조성하고 있다""며 ""솔라시도가 대한민국 도시 개발의 새로운 장을 열어 갈 것으로 기대된다""고 말했다.

[박재영 기자]"
0005462153,네이버,한국전력,2025-03-20T16:06:00+09:00,"삼성물산 건설부문, 카타르 최대 태양광 건설 한창… 그린수소로 사업 확장","삼성물산이 수행중인 카타르 태양광 발전 프로젝트 예상 조감도.


삼성물산 건설부문이 저탄소 에너지를 중심으로 사업을 발 빠르게 재편하며 글로벌 시장에서의 친환경에너지 선도자 위치를 확보해가고 있다. 적극적인 투자와 기술 역량 확보, 글로벌 파트너사와 사업 협력 등을 통해 사업 기회를 모색하는 한편 속도감 있는 실행을 통해 태양광, 수소, 소형모듈원전(SMR) 등 에너지 관련 사업을 폭넓게 전개하며 '에너지 솔루션 프로바이더'로 자리매김한다는 구상이다.

삼성물산 건설부문은 태양광 등 신재생에너지 분야에서 다수의 프로젝트를 수행하며 선도 기업으로서 입지를 넓혀가고 있다. 특히 차세대 에너지 사업 범위를 그린수소 등으로 폭넓게 확장하고 있다.

회사는 현재 카타르 최대 규모의 태양광발전 프로젝트를 수행 중이다. 카타르에너지가 발주한 이 프로젝트는 축구장 1400개 크기의 용지에 발전용량만 875㎿에 달한다. 완공되면 약 150만가구에 전력을 공급할 수 있는 세계적인 규모다. 완공 후에는 카타르 에너지 관련 시설과 국가 전력망에 전력을 공급하게 된다. 앞서 삼성물산은 2022년 7월 '괌 망길라오 태양광 프로젝트'를 성공적으로 마무리하면서 단순 태양광 패널 모듈 설치 수준을 넘어 설계·조달·시공(EPC) 및 운영까지 모든 단계에 걸친 사업 경험을 확보 중이다.

괌 태양광 프로젝트 경험은 카타르 프로젝트 수행에 밑거름이 됐다. 삼성물산 관계자는 ""연이은 프로젝트의 성공적인 수행으로 에너지 사업 분야에서 '글로벌 에너지 솔루션 리더'로 한층 더 발돋움하는 계기를 마련하게 됐다""면서 ""태양광 관련 국내외 주요 기업 및 현지 파트너와 네트워크를 확대하며 사업 경쟁력을 키우고 있다""고 전했다.

지난 11월에는 한국전력·동서발전과 팀 코리아 컨소시엄을 구성해 미국 괌 에너지저장장치(ESS) 연계 태양광 사업을 수주했다. 2027년까지 132㎿ 규모 태양광 설비와 260MWh 배터리 기반 에너지저장장치(BESS)를 연계한 발전소에서 생산된 전력 전량을 괌 전력청에 공급할 예정이다. 또한 발전소 건설공사를 전담해 수행할 계획이다. 2023년 11월에는 호주에서 아시아·태평양 최대 규모 BESS 건설사업을 수주하며 호주에서 에너지 분야 사업을 확대하는 발판을 마련했다.

오세철 대표


삼성물산은 신재생에너지 분야에서의 폭넓은 역량과 네트워크를 바탕으로 중장기 시장 규모 확대가 예상되는 그린수소 분야에서도 사업 기회를 확보하기 위해 노력하고 있다. 특히 신재생에너지 자원이 풍부한 호주에서는 현지와 글로벌 시장에서 확고한 성과를 보이는 리딩 업체와의 협력을 통해 신재생 단지를 조성하고 그린수소 생산설비를 구축하는 개발 프로젝트 추진에 힘을 모으고 있다.

세계 최대 그린수소 허브를 목표로 하는 오만에서는 삼성물산 건설부문이 2023년 12월 일본 마루베니를 비롯한 글로벌 기업과 컨소시엄을 구성해 2단계 살랄라 지역의 그린수소·암모니아 사업에 대해 단독으로 독점 사업권을 부여받았다. 아울러 삼성물산 건설부문은 차세대 에너지원으로 주목받는 SMR 사업 기회 선점도 모색하고 나섰다. 실제 SMR 시장에서 기술 선도 업체인 미국 뉴스케일파워에 지분을 투자하고 인력 교류와 기술 협력, 동유럽과 아시아 등 글로벌 시장에서 공동 사업을 추진하기 위한 협력을 구체화하고 있다.

앞서 삼성물산은 루마니아 원자력공사를 비롯해 미국 뉴스케일, 플루어 등 글로벌 원자력 리딩 기업 5개사와 루마니아 SMR 사업에 관한 업무협약(MOU)을 맺은 바 있다. 이어 지난 7월 미국의 플로어-뉴스케일-사전트 앤 룬디 등 글로벌 엔지니어링 기업 3개사와 루마니아 SMR 사업의 기본설계를 공동으로 진행하기로 하면서 SMR 개발 역량을 강화하고 있다. 루마니아 프로젝트는 2030년 상업운영을 목표로 한다. 삼성물산이 유럽으로 시장을 확대하는 교두보가 될 것으로 기대된다. 회사 측 관계자는 ""루마니아 SMR 사업은 유럽 내 석탄화력발전소를 SMR로 대체하는 첫 사업으로서 중요한 의미가 있다""면서 ""이번 기본설계 계약을 통해 글로벌 SMR 플레이어로 입지를 강화해나가겠다""고 밝혔다.

삼성물산은 글로벌 기업과 사업 협력을 통해 차세대 에너지 신사업 밸류체인 구축에도 발 빠르게 나서고 있다. 차세대 에너지원의 한 축인 SMR 사업 관련 미국 뉴스케일파워에는 지분 투자와 함께 기술 협력, 인력 교류 등을 진행 중이다. 스웨덴 민간 SMR 개발사인 칸풀 넥스트와는 스웨덴 SMR 사업 개발을 위해 관련 기술 선정, 환경영향평가 등 발전소 건설을 위한 협력을 진행하고 있다.

아울러 자회사이자 세계적인 에너지저장시설 전문 설계 업체인 웨소의 역량을 결합해 액화수소 저장과 재기화를 위한 기술 개발에도 속도를 내고 있다. 실제 성과로 2023년 10월 국제인증기관인 DNV로부터 세계 최대 용량의 액화수소 저장탱크 설계 인증을 획득하기도 했다. 액화수소는 기체 상태인 수소를 극저온으로 냉각해 액화한 것으로 인증받은 액화수소 저장탱크의 용량은 4만㎥에 달한다. 이는 초저온 상태의 액화수소를 약 2800t까지 저장할 수 있는 용량이다. 수소차 50만대 이상을 한 번에 충전할 수 있는 규모다.

[황순민 기자]"
0002935370,네이버,한국전력,2025-03-20T15:59:00+09:00,"중부발전, 신서천 IoT 기반 항만시설 안전관리플랫폼 준공식 개최","국내 최초 발전소 항만시설 첨단안전 솔루션 개발
한국중부발전운 19일 수요일 신서천발전본부에서 국내 최초 사물인터넷(IoT) 기반 발전소 항만시설 안전관리플랫폼 준공식을 개최했다.ⓒ중부발전
[데일리안 = 임은석 기자] 한국중부발전운 19일 수요일 신서천발전본부에서 국내 최초 사물인터넷(IoT) 기반 발전소 항만시설 안전관리플랫폼 준공식을 개최했다고 20일 밝혔다. 준공식은 업무 협약기관인 한국전력공사 전력연구원, 넥스트코어 테크놀로지, 삼성중공업과 함께했다.

IoT 기반 항만시설 안전관리플랫폼 연구개발 과제는 지난 2022년 8월 항만안전특별법 시행 후 발전소 내 취약 설비로 인식되는 항만시설에 대한 안전관리 강화를 선제적으로 대응하고자 시작됐다.

안전관리플랫폼은 항만시설 내 연료하역작업 위험 요인에 대한 모니터링과 감지, 경보 체계 개발을 목표로 다섯 가지 주요 기능을 개발했다.

▲선박에 융복합형 어라운드뷰 시스템 탑재로 접안속도, 위치 등의 운항 정보를 항만 관리자와 작업자 간 공유 ▲선박·부두 충격 감지 진동센서 부착으로 접안 시 충격과 파고에 따른 작업 위험성 감지 및 경보 ▲CCTV 기반 3차원 스캐닝 기술 활용으로 하역기 센터링 데이터의 실시간 전송 실현 ▲인공지능 CCTV 구축으로 선박 내·외부 작업자의 안전 장비 미착용 확인 시 위험신호 표출 기능 구현 ▲육상 컨베이어벨트 비상제어 시스템 설치로 기기 이상 작동 시 즉각적인 경고와 비상시 선박 내·외에서 동작시킬 수 있는 양방향 세이프티 스위치로 개선 등이다.

첨단기술의 성공적인 개발을 바탕으로 이번 연구개발 과제는 지난해 7월 'IoT 기반 항만 안전통합관리 플랫폼 서비스 제공 시스템'으로 특허출원을 등록했다.

이종길 중부발전 신서천발전본부장은 ""작업 현장의 유해 요소 및 위험구역을 지속적으로 발굴하고 첨단 안전 기술을 적극 적용해 안전한 일터를 만들기 위해 지속적으로 노력할 것""이라 밝혔다."
0008142049,네이버,한국전력,2025-03-20T15:20:00+09:00,"한전, 내일 2분기 전기요금 발표 '동결 가능성 우세'","(서울=뉴스1) 김성진 기자 = 한국전력공사가 오는 21일 2분기 전기요금을 결정한다.

최근 4년간 누적 영업적자가 34.7조원 규모여서 인상요인은 여전하지만, 지난해 수익성이 다소 회복된 만큼 동결 가능성이 우세하다. '전기요금 동결' 가능성의 배경에는 최근 물가 상승 압박, 요금 결정의 키(Key)를 쥔 국내 정치 상황의 불확실성이 있다.

20일 서울 시내 다세대 주택에 설치된 전기 계량기의 모습. 2025.3.20/뉴스1"
